sentence,label
"affy 30 just two months ago, intrinsic value in the ip and 400m in back tax losses.",1
cs nice move above the 50 and 200 dma. nice base structure on a daily/weekly pattern.,1
user: pphm damn. sorry folks. pharms are getting taking to the shed today.,0
"softbank to raise $41 billion to expand share buyback, cut debt",1
cbmx - history repeated another hge day - now look at bgmd and tek they have same exact pattern - cbmx float 1mill - tek 2.4,1
"no position for me, my boss took his 1st in position in a long time (sho  bby) so maybe contrarian thesis here i am sho  gme tomorrow",0
15/16 stocks on watchlist higher- hope ur listenin  f kbh gpx ssq sbx csod hd chk ebay tex i itg,1
mcp i seem to be the only joker gaming a position here amongst all you speculators!,1
"ntsp is the laggard in the #13for2013 po folio, down 2.03% for the year (closing in on 50-d ma)",1
aap under 450 gets ugly i've been saying for a while aap hits 400 in 2013,0
"nfx taking some off here, my 2nd trade",1
amzn goog and cm move higher as the nq_f turns green,1
aap lower highs and lower lows intraday...where is big near term suppo ?,0
user me too but nfx has been kicking my a!,0
swhc bet pm will be mid to high 9's,1
"goog 801ish 1st tgt, 803.20 stop",0
che (home healthcare svs) at new all-time highs on heave volume,1
ddd thinking about adding here.,1
"â€œwe were on a good roll through january and february,â€ goldman cfo stephen scherr tells me. â€œthen came march.â€   updated wâ€¦",0
"sensex opens over 350 points lower, nifty sta s day below 8,700 tracking weakness in global markets amid coronavir…",0
ati is in breakout mode for monday. it cleared its 200ema on high volume + bullish macd cross. ong,1
sho  fcx needs to retest 30 level,0
bac right back to 12 i'm eady!,1
"sk 6.75 printed ah, this baby's gonna pop tomorrow. share buy back, euro expansion, fast growing company here :)",1
aap flash dump begin ????,0
de higher bid offering coming? look at all the recent action on the april 14 calls per najarian? pps above 13.50 here???,1
dpz looks ready to break out for the next leg up,1
"cat pure stupidity imo... germany and china slowing, lets buy some cat o! ignorance is bliss!",0
ev buying on this pullback of this strong stock; entry 39.74 stop 38.02,1
actg possible breakdown tomorrow...,0
"dndn grow wings you pig, 50 million sho s going to sta  covering soon enough",1
swi still down small but put in context this still looks good,1
"user in a bullish you sell always, no buy; in a bearish market you buy no sell nx",0
nfx failed attempt at a new high possible hesitation at the top i like the nfx130208p170 at 3.60,0
"green weekly triangle on mh,....sell sho  at 4.06",0
axti momentum picking up w/ macd climbing/si rising.obv indicator made a new higher high this week,1
nfx sho  moved targets for reversal up - not in yet s1 and ma,0
bwd wants to fill the gap which will be complete at 83.10. higher highs and macd and si showing bullish signals.,1
"closed my ddd feb 60p/60c/65c bull / here for +8, roll to sto feb 70 puts  4, i'll take the shares, the premium, or some of both",1
"sensex, nifty end volatile session on a flat note",0
"aap, anybody remember, how i said they've reached saturation point now? where's all of the guys who laughed?",0
amzn has a pretty strong intraday suppo  at 269.5. i'm still in until that suppo  breaks.,1
bac oupss !!!sooner than expected.. that's what's ale s are for...,1
ns breaks below the triangle,0
awk en fuego pa  2,1
m 5 min flag.,1
jcp is anyone else listening to this? eal sma  use pension plan as collateral to take on more debt with no core improvements.,0
rbi has cut the liquidity adjustment facility by 90 bps to 4%,1
"aap sho  setup: a catalyst could counter (whoa, remember aap catalysts?) but 425 tgt, 435 resis",0
"rbi cuts rates to tide over ""disruptive"" impact of coronavirus",0
goog lookin good,1
"aap there it goes, peeling some here",1
coh also got rejected by cloud but still in slight uptrend for past few. buy when it enters cloud,1
wpi - whoopie - that's the stocks nickname,0
the coronavirus selloff has left fund managers nursing losses and local economies without a key source of financing,0
nice all-time high attack by tesla today (long ) tsla cc user,1
bac we can see another rally to 12.40 till 2pm but after --> opex power  will come.  next week dividends + buyback.,1
jpm saw a headline about fraud with a bank - how could that be they so honest - stock hits 48 before it ever sees 50.50 again bet anyone,0
yhoo cramer kiss of death thanks bro. can i get a bac and jds cramer nudge? user kifmonster,0
"icici bank to invest up to rs 1,000 crore in crisis-hit yes bank",1
"znga if you are bearish here, you don't know poker.  this is incredible.",1
mcp looking better again. tradeble.,1
"user: nbs strong financials, more contracts for progenitor in pipeline, approval for am-001 expected, this is the sacred cow of 2013",1
phm nice ooking cup & handle with a pivot of 21.6 when it breaks this resistance on volume go long,1
some breakouts today: agco cam f gmc ha jec kac mcs mos nke osk pg tex tmo too,1
today's watchlist for ong stocks: tibx; hn; snfca; ect; bby; nihd  #stocks #trading,1
isis we open anywhere here or under 16.75 we see 17.25 - easiest .50 cent trade ever,1
moody's cuts india gdp growth forecast to 2.5% in 2020,0
aap no volume + no conviction = bearish,0
eqix expe fb gs hog mon pii qcom qih soda some ideas for next week.  favorite setup is eqix,1
oc xx also watchn for a long,1
"sensex opens 222 points higher, nifty at 9,285; banking, metal, energy stocks lead gains #sensex #nifty #marketupdates",1
sbx solid move today continuing uptrend and holding above suppo  to close the week,1
msft broke out of a major resistance thursday and may be headed higher from here.,1
user brennanbasnicki was looking 145.50 but missed unfo unately gs,0
tab finally sta ing to break out. macd crossover today/should suppo  higher prices in sho  term,1
"if you've been playing poker for half an hour and you still don't know who the patsy is, you're the patsy.? buffett on amzn sho ies",1
intermolecular is looking promising. pivot above 10. imi,1
goog stopped out of half --,1
aap appears to be dragging down qqq and spy #stockaction,0
cook should inquire as to how many indictments goldman has faced every time he is asked for numbers...walk off the stage  gs aapl,1
qco made like 3 points scalping this today!!!!!!!!!!!!!!!,1
gevo watch for a break above 2.08 to test the recent highs at 2.43,1
cat being a major thorn in my side today. me being sho  that is.,0
amzn back to sho ing a few - clearing 50 day ma.,0
shd  sears looks good on break out this morning. shd,1
bac +12 by close even better!,1
fod long 2.87,1
user: ddd broke out from the bear flag to the upside.... ots of sho s who do not understand momentum being caught stdy,1
ng signs deal amp etf inches forward with holdings of companies in ng so dig wti oi oi co,1
aig #mapattern,0
ctxs (conservative swing) once again bouncing nicely off suppo  (w/volume)  mcp (aggressive swing) however strong probability.,1
"chk 6,600 weekly 20.50p bought vs. oi of 148",0
3 horsemen of high beta momo chase fs gmc nfx being slammed a bit here : advanced tell that the new year pa y is over for the mrkt ?,0
vvs pop with volume,1
imm lol aap-tlye presentation - get creative guys,0
"vs breakout back-test right here, would be a good entry point for anyone interested in this name",1
i am an aapl bull but cannot break this trend line in obv,0
aviation industry stares at loss of up to $3.6 billion in q1 due to travel ban,0
gmx just like magic.,0
oy massive 80000 contract 8 way rolls bullish trade in oy into a call spread collar,1
vvs ong set up:,1
rbi refrains from giving inflation outlook; says gdp projections at risk,0
"green weekly triangle on hek,...sell sho  at 3.96",0
"eps hit my 1st tgt, 7.65-70 next",1
coronavirus is forcing companies to either postpone their annual meetings or take them vi ualâ€”a first for many exeâ€¦,0
"gs pennant signals a consolidation, then a breakout through resistance",1
ssys exuberance is a stock generating 2million in operational cash flow for 9mos trading at 3.4 billion. or u could say a top,0
both gi and  have increased in price for 8 of the past 10 years in the jan to mar option expiration time frame.,1
"tho will enter on confirmation tomorrow, looking great (no pos, yet)",1
"canâ€™t get your hands on a nintendo console to play the new version of ""animal crossing""? you could always buy nintendo stockâ€¦",1
swy - made some sales 20.30 - 20.60,1
cat once she loses 86.50 ookout below!!! straight to 80 imo...,0
"scm very very slow, some holders should sta  selling off real soon imo",0
"user about g, it is in a sidelines mode, that is no a good trend, i am seeing 2.22",0
bought my very first nke golf apparel yesterday...golf is now a serious fashion biz.  crazy and young and colorful,1
added to ebay in trading account,1
ayi q1 operational cash flow turns negative,0
"user jemberlin that is my number too, will be a good swing, but personally i hate amd,",0
the first major national election of the coronavirus era offers new avenues to reform korea inc.,1
ziop nice close - tek eod heat up this stock is next to soar,1
sho  ms small,0
"wholesale inflation at 1% in march amid coronavirus crisis, as against 2.26% in previous month",0
