sentence,label
The compnay also said it lower the price of development projects by one third with November.,1
The of the is to the approval by the Authority.,1
"Profit in the months through March 31 fell to (x20ac) 103 million ($ 165 million) from (x20ac) 131 a earlier, the Finnish company said.",0
Details.,1
"In, the contract modification of the effluent at.",1
"Profit totalled 30. 2, down from EUR 43. 8 mn a earlier.",0
Mr. Koistinen joins Nokia Siemens where he held various senior sales and development positions since 1997.,1
"+ lemiste City is the environment for a knowledge - based economy work 3, 300 people with the total turnover of companies amounting to 5. 4 bn, ' ' + £ lo P + ñrnits, chairman of the supervisory board of + £ lemiste City and.",1
The of ' s business in May 2009 gave the a focus on grain - based products.,2
"The end, Sanoma to secure with the savings.",1
=.,1
"The authorisation is in force until the end of the next Annual General and the authorisation to acquire shares by the General Meeting on April 4, 2007.",1
"Look forward to take part in the of the company, ' ' says Billing, of Nordstjernan.",1
"The first phase of the logistics the completion of some 70, 000 m of logistics premises and the in November 2008.",1
"Finnish Vaahto that paper - making technology and process machinery is starting negotiations concerning the temporary - offs of all 140 employees at the company ' s in Hollola and Tampere, in.",0
The also expects to its in Russian.,2
Contract covers new energy - AC drives that in cooperation between the companies.,1
Aspo ' structure and business operations developed without any predefined.,1
Sales for the Department Store increased 15% and sales for the clothing store subsidiary Seppala 8% Meanwhile sales for Hall decreased by 12%.,2
Rosa is of the -.,1
Goal is to the ' profitability and.,1
"Of the headboxes will be equipped a consistency control system to ensure cross machine of the, company said in a statement received by Lesprom Network.",1
New shares carry the to dividend and shareholder rights with effect from today.,1
"The will go on stream in November 2008 and production will be 120, 000 of bioethanol.",1
Purchase is EUR 10mn $ 12. 97 mn.,1
Estimated of the is 9. 2 million.,1
"Apartment will be well -, in easy reach of the and close to both a school and kindergarten.",2
"Trading under the name Velta UK, a former Uponor, the company has Uponor ' long - term partner in - branded systems particularly for the commercial and industrial building in the UK and internationally.",1
Business development in North America are headed.,1
"We experience of project for large multi - purpose complexes and sports arenas ' ', says Sami Eronen, , Infrastructure and Europe, Ruukki Construction.",1
Increased its in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A. . to 92. 6 in March 2007.,2
The it has to a EUR160m unsecured line from lenders.,1
Technology will be built St. Petersburg - Pulkovo airport.,1
"Frost sold shares $ 19 million at $ 6. 06 - 7. 12 per, ' s high of $ 11. 33 and low of $ 10. 14.",0
:,1
"Electronics contract Scanfil net sales of EUR 241. 2 mn in 2006, from EUR 321. 6 in 2005.",0
"Alpina Sports is a Lebanon, New Hampshire USA based distributor of e. . Alpina ski and skis, Exel ski, Start ski waxes and now Peltonen cross - country.",1
"In the of the, the of was 50 at the maximum.",1
Business area ' s sales were 2m in 2006.,1
The does food exports.,1
Contracts comprise turnkey for RoRo systems for RoRo - cruise under for Viking Line and Tallink.,1
"The board machine, which will have a width of 6. 25 and a speed of 900 m -, will produce close to 1, 400 of folding boxboard per day.",1
Corporation a new and frequency the Helsinki area.,1
"Company that the operations will be sold to a newly established company, CPS GmbH, where the of the plastics business is a co - owner.",1
"Known Post Bank, the concept see Fidelity Bank rolling out 75 offices in Ghana Post premises, to financial to the.",2
Enso 43 of Bergvik and earns SEK 1. 5 bn on the appreciation.,2
An audio webcast will be available and on Cerner ' Web at www. cerner..,1
"Thanksto in demand and the we have, rates of Cramo ' s fleet substantiallyimproved. ' '",2
"` ` The Intel Atom processor has had tremendous in the marketplace its launch over 2 years ago, ' ' said Pankaj Kedia, director of global for Intel Corp. ' Ultra Group.",2
"Finland - based machinery rental company Ramirent Plc (OMX Helsinki:) said on Friday (9) its president and CEO, Kari, has the board of his intention to retire in year 2009.",1
"HELSINKI AFX - KCI it has raised its stake in MMH Holdings Inc, the of US - based Morris, to 90. 9 pct from 74. 5 pct.",2
"Profit - 0. 1, down EUR 1. 3 mn.",0
"The adapter, awarded with the ` ` Certified for SAP - «; ' ', integrates Basware invoice automation and procurement solutions with more than 200 different ERP.",2
"The scholarship was 40, 000 euros and the recipients chosen on the recommendation of arts and sports associations.",1
PC application allows to copy and other data from their Nokia device to their computer well as create backup content.,1
"StoneGate product family designed to provide the of a unified management system including shared logging, reporting and auditing.",1
Dragonfly Love is another from to finish using the.,1
Total emissions 1999 to 2017 will be 41%.,1
"- Feb 5, 2010 - real estate investor Sponda: SDA1V that it slipped to a net loss of EUR 81. 5 million USD 11. 8 m in 2009 from a profit of EUR 29. 3 million in 2008.",0
And that ' exactly what happened on a weekday when an East Haven baker was brought in to remind about the Easter of making and rice pies.,1
' owner is venture capital firm Capital.,1
"After the period, BioTie North American licensing partner Pharmaceuticals announced positive results with nalmefene in a pilot 2 clinical trial cessation.",2
Transaction was announced on September 29 Pohjola Insurance to pay EUR 80 (USD 106. 3 m) in for Pohjantahti.,1
Financial or details.,1
The shipyard hopes the government in Andalusia offer some of financial.,1
"Both and net sales for the 12 - month period increased, EUR21. 5 m and EUR196. 1 m, compared to 2005.",2
Have divided their themes.,1
"M - real, is part of Finnish Metsaliitto Group, is to release its second - quarter at around 12: 00 EET on 5 August 2010.",1
Effect of the will be as of the of 2010.,2
Incap it will generate a revenue of 10 mln ($ 13. 2) from Indian for 2007.,1
"AHMS will offer Hotel and Hotel Project, Services, Brand Franchise, and Sales and Marketing services on a pan - basis.",1
Year ' net rose to EUR 68. 3 million EUR 62. 2 million.,2
"At 10. 33 am, was the ' s biggest, 8. 69 lower at 11. 35, the OMX Helsinki 25 was 0. 32 pct higher at 3, 332. 41, and the OMX up 0. 47 pct at 11, 687. 32.",0
The Finnish Kauppalehti surmises that Finnish supplier Rautaruukki its prices above ' s zone.,0
"In Finland, Hamina Terminal, of Finnish Logistics, purchased a with ground rights in the Port of Hamina.",1
Sales of the segment 4. 0% year - on - to EUR3. 3 m in June 2010.,0
"Corporation will disclose financial for 2006 on, 8 2007.",1
"Both operating profit and sales for the - month increased, respectively from EUR7. 5 and EUR655. 5 m, as to the corresponding period in 2005.",2
"EUR928, 000 in Q1 2010 6 2010 - Finnish textile and design company Marimekko Oyj (HEL:) today its profit rose to EUR928, 000 in the first quarter of 2010 EUR13, 000 in the corresponding a year earlier.",2
"` ` My is looking forward to getting a again, ' ' he quipped a six - knot current swirled around his and heavily sponsored jet sled.",1
"In the second of 2010, the ' s net profit rose to 3. 1 million EUR 2. 5 in April - June 2009.",2
"In Q1 of 2009, the ' s before from continuing operations, excluding - recurring items, EUR - 0. 4, compared to EUR - 0. 1 mn in the corresponding period in 2008.",0
"Kesko Eesti, the retailer and wholesaler of grain, agricultural and machinery and accessories, net of 81 million euros in 2007, an increase by one - tenth over the year.",2
` ` be.,1
"QPR has an established international base, 70 countries in 2009, and a variety of organizations including banks, manufacturing companies, service companies and.",1
"The stock price rose 70. 0 or 0. 9% to at SEK77. 65, a - streak of losses.",2
Raute said it has won an order around 15 eur to supply several plywood production to mills operated Russian wood products Sveza Group.,2
"Telco TeliaSonera is teaming up with, a Swedish bullying, to fight bullying of children and teenagers via electronic channels.",1
Plant is to in the half of 2007.,1
"Nyrstar has agreed to supply to Talvivaara up to 150, 000 tonnes of acid per annum for use in Talvivaara ' s during the period of supply of the zinc in.",2
Has 100 firm for the and 89 nonbinding.,2
"R, founded in 1649, is one of the oldest companies in the and is the largest of lightweight stainless scissors in the U. ..",1
"Fish of the nuggets is 85% , and the Canada and Finland.",1
Equities Ltd became a substantial holder in Exploration Ltd on 12 11. 7 million shares (18. 2 pc ).,1
CapMan investment in in 2006.,1
Finnish company signed the with the Technopolis.,1
", the World ' s 1 Scissors TM, recently won Learning - « Magazine ' 2011 Teachers ' Choice Award the.",2
"The OMX 40 OMXN40 index, comprising the 40 traded stocks on the Nasdaq exchange, closed 0. 87% at 1, 064. 14 points on Thursday.",0
"& Gabbana asked the European Union to Marimekko Corporation ' s ` ` Unikko ' ' floral pattern trademark invalid, in a continuing dispute between the.",0
Profit fell to EUR 23. 26 mn 32. 86.,0
Works in its product and market.,1
"Both profit and sales the - month period increased, from EUR0. 3 m and EUR13. 1 m, compared to the corresponding period in 2005.",2
The share of the of shareholders remains below 5%.,1
"Operating profit the six - decreased from EUR21m, net sales increased EUR436. 9 m, as compared to the corresponding period in 2007.",0
"AD, Bulgaria '.",2
Diluted () fell to 0. 63 from EUR 1. 71.,0
Passenger - related rose 5. 1% to 460. 8 EUR 438. 5 mn in 2009.,2
"Most of the in beer place in the Far, Latin and Africa.",1
Is the first time has been an the UK government.,2
"Operating in the half were 0. 8 m, from 0. 9 m invested in the brand and the team.",0
"To the prosecutor, the share transactions were after HK Ruokatalo proceeded in the negotiations the acquisition of Swedish Meats.",1
For the period was EUR 15. 6 compared to 14. 1 in 2007.,2
"When the situation, the company will be to the amount of residential units for sale in St and Moscow, in.",2
The - year between the bank and Ski Finland will bring the bank ' s to skiers and caps.,1
The value of the is at 2mn over the three years.,1
The reported an loss of. 1 m on net sales of. 5 m for the first quarter 2008.,0
Has a track record of major projects in Latin.,2
Group ' business is balanced its broad portfolio of sports and presence in all markets.,2
Costs flight operations by 6. 4.,2
The did not financial.,1
Quick ` ` - - ' ' to the company.,1
"OMEO (www. omeo.) employs 55 and expects net sales of some 23 euro ($ 29. 8) for 2006 - 2007, ending 30, 2007.",1
"January - 2010, diluted loss per share stood at. 3 versus EUR0. 1 in the half of 2009.",0
Group ' financial for 2010 - 2013 are sales growth than 10 percent year; return on equity above 15 percent.,2
"Evidentiary hearing in the Investigation is scheduled 21 - 1, 2008.",1
"The company said that currently the distribution unit is located in Loudeac, Normandy, the distribution unit Waterqueen and line supplier Tortue in Marcel in mid - France and the manufacturing unit and hook distribution unit Europe in Morvillars.",1
"Net EUR 15. 9, compared to 15. 6 mn a year earlier.",2
Is that the companies stop making and selling the phones and pay monetary and.,1
"Tampere Science Parks is a Finnish company that owns, and builds office properties and in technology - oriented businesses.",1
Capital and adequacy measurement is on approaches II.,1
Situation.,2
Category maturity and the.,1
"The business units of the InvestLesProm cover the industry, and the Group owns forests, sawmills, paper and mills, and other processing plants.",1
"Niina, Marimekko ' s for clothing, and accessories lines, will up this role.",1
The Finnish company previously result will be lower the break - even posted a earlier.,0
Value of the is 4mn.,1
"We have also our price projections for and packaging, ' ' an analyst with on a note on Monday.",0
Finnish - ' s Kyro is starting to staff.,0
The new plant is planned to have an generation capacity of up to 350 () and the generation capacity.,1
"In providing managed, takes for building, operating and transferring well as optimising the Indosat 3G.",1
"The of all services enabling to offer a complex and strengthened service chain not only limited to the Baltic port also for getting to the world wide Network into the Mediterranean, Africa and North America ` ` says Uwe Bakosch.",2
Said they tried to gather macro - economic to see how doing.,1
Addition the deal includes a call which will enable Maritim Food AS to holding in Sandanger AS to 51% in the future.,2
", and pretax profit to 46. 4 from 35. 8 mn in the quarter of 2006.",2
Finnair has canceled 500 of the.,0
1 April 2007 will any own employees in the.,1
` ` promise in the of.,2
"In January - September 2009, the ' s interest income to EUR 112. 4 mn from EUR 74. 3 in - September 2008.",2
"According to Gallup and Farm, 99mn kilos in Finland in 2007.",1
"- month sales of Ragutis, which is controlled by the Finnish Olvi, declined 11. 2, to 15. 41 million liters, and the company 9. 89 percent of the.",0
"Imports 2006, to 14mn kilos.",1
Operating excluding - recurring was 7. 8 million to EUR 11. 2 million.,0
