sentence,label
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,2
Componenta increased its stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,2
"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market .",2
IonPhasE 's second major owner is venture capital firm Aura Capital .,1
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",0
"Divisional sales demand in the half remained `` inconsistent '' , it added .",0
Finnish forest machinery manufacturer Ponsse has issued a profit warning .,0
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,0
"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .",1
"Alma Media Corporation PRESS RELEASE March 25 , 2010 TYRV+ä+äN SANOMAT PURCHASE CONFIRMED The business operations of Tyrv+ñ+ñn Sanomat Oy will be transferred to Suomen Paikallissanomat Oy .",1
The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .,2
"In today s business , you have to pre-empt what consumers want , said Mohammed Zainalabedin , General Manager , Zain Bahrain .",1
"Salo , Finland , 29 August 2006 - Benefon has today announced its plans to further strengthen its in-house technology platform , by licensing the complete mobile software platform , Opna , from its long-standing technology partner , Pollex .",2
"The workforce will be reduced also in the Amsterdam office , in the Netherlands .",0
Recently the company decided to build a second identical plant at the same site due to be commissioned toward the end of 2008 .,1
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",0
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",2
"According to Kesko , the company agreed with the city administration about lease of the building in 2006 , its resettlement and construction of a five-star hotel Hilton for 120 rooms .",2
"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added .",0
Airbus will attempt to evacuate up to 873 people within 90 seconds .,1
"In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",1
Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision .,1
"Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been selected by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .",2
"Tecnomen 's system features a new range of value-added services for prepaid and post-paid billing , charging and rating of voice calls , data traffic , or any kind of content services in both mobile and fixed networks .",1
The transaction is planned to be financed with a EUR40m market-based loan granted by Standard Chartered Bank Hong Kong .,1
"So Mr. Galvan made savings adjustments of his own , buying less liquor and watching portion sizes .",1
Global Banking News - 28 September 2010 Tieto Corporation and Pohjola Bank ( PINK : POJLF ) are to cooperate on SWIFT services .,2
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",1
Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 .,1
"Exports accounted for 65.4 % of net sales , representing an all time record for the company .",2
Commencing the construction works of Pearl Plaza is a significant step in our Russian projects .,2
"Sampo Group that has become a major shareholder in Nordea owns TrygVesta 's main competitor , If P & C Insurance .",1
facades in Riga 8 March 2010 - Finnish construction company YIT Oyj HEL : YTY1V said today that it will build the frame and the facades in a tower construction project in Riga .,1
"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings .",0
