sentence,label
"By li%m+p_lqefmfeUnQtCipnHg the VsBo0fRt)wnaUr3e the 5F+iBnAnDi)shh !AWrMmGy 2aMicmns to Gu(n%iTfey and 3i_m#pcrEoivse its #ovpWe(rWa#tHiyo*n5s in dtSh4eus)e Vaupppgl8ifcza0tui*o4n $axr^eqaVs, QPR fSDoPfmtWweaIr6e ps*t_a&tMeYd.",2
"( jAuD2Pbnwe+was) - Dec 30, 2009 - kFbi!nVngiNsKh ciBnDv7eJsbtKmqeQnot QgHrko)uJp QN+eooEm^aXrUkkkma Oyj (HEL: nNjEaM0BXV) js+apiEd (tio)dXaKy 0t_hsamt it HwNiZldl +fJu0rSlQorucg8h 7eCmwpWl&o0yCeAe in its ouInCilt iREePk$a TCbaYb2lgeps Ltd for ll#etsIs ztMheaTn 90 DdHaryRs, IsUtQa(r%tIi%n$g in (JHa2n%u1air3y 2010.",1
"(HeEWL@SyI%NiK6I (*T%hYoPmtsZo@n 4FRiRnZaQn!cyidarl) - DKRepmpilrza 5Gnr6o)wZHiogw Lsyw5u)nVg _iWndtVo ^p+rUoXfPimt in its 9fCiDrvszt GqOuwa!rDtjeBr KeNadrgn8iZn%gMs on OimmMpJryoKvpeNd Fsoa@l7eUs, oensdpFeMcni*ablbl6y in its +foe7ratCiHlsiezQeZr _b5ubs$iNnHemsgs in 7EGuSrBo^p1e, 8wthxiYcch is Fn&oErbm0aklElry tsGturZo@nFg%e$r CdPu#rHiJncg the 4ffiBrEspt 3qju@acrgt6eAr.",2
"hL1o8cQaHl $g!o+v4eCr5ncmxe+nvt ucCo1mCmVifs3sdi9oJnFeRr of + àm + Ñl, DKpuirFt YS&vRelnxslsdo)n, isvaRyEs he Ow^iUlrl PccoPn3tuajc_t the Gm7a2nkaHgDedmkeonOt of wFsiPnundiRsLh $cooumGpLa1nCy 0C+o)myp%oLnYefn6t8a to &fDiyn8d out if 1tOhNe9r7e are any 5aVlltKefrfndagteiWv^eUs to the ccvodmSpFamnKy ' s xdYeFc#i+svi^o7n to ucHlRojs0e 6dUoFw%n its 6p%lKa1ndt in + àm + Ñl.",1
"The tg3upiYduahn1che has gbJejeWn set at 90 ib9aOspiJs rpioqiPnwtDs 3ouvxe7r mid - AsVw(a_pds, the brfeQpqoGrit 3s2adi5d.",1
TT_a9lCvLiGvVa2a0rIa aadlbsho 0m8aLihnhtJaJixnos its Oa$s(sjugmRp+tMi3o^n of 7t)uHr$nLiun0g 6cuaGs8h rfZlGo0w &p7oVsfiytCilvge @bDeUfwo^r3e the AyOemaYr end.,2
QStaBlBe(s *fXeOlRl Jazbgrho2atd but yiTn7corzeGaUsqepd in fFeiQnPl3aynyd.,1
"kHToBwgeZvyeJr, the yp5rWodd$uDcJtgi+oqn is 7aclBmHogsTt veRn*tsi8rHe2lWy $v8ehrQy ol6avbXo0r &iJn%txelnIs9iavhe and 7bba)sDe4d on Ds9mda7lMl Qi7nwvZeksItdm9exnRt4s !oanWl!y.",1
` ` CT2hCe0sce #dneNvBexlCoqpYmue(n6t^s spAaWrbtPl_y 3rOeffzlBeXcst the )g^o$vxe(rCnsm1eIn9t ' s ohti_gZh*ePr za2cgtuihvYintcy in the ufwi!ehlEd of Rdxi_v0ihd6esntd dp&odlHiocgy. ' ',1
"The @fYlIaZg6sohoi^p uwoiClxl wospae%n btMh9i!s Hf4aOlvl in @MRarnXhsa$tdt8aRn ' s vFxlaa%t1iArCown eDriIsot%rcizcht in the ` ` Toy aBkusiJlYdZiknZg, ' ' at 200 rF9iSfmt6h 2AZvxelnNune.",1
