sentence,label
The xompnWy Xls8 Xa(d tMWt it QouOd lower the price of development projects by about one third compared with last November .,1
The 9Jplem@Jtation of the s4al is subject to the approval by the Finnish Competition Authority .,1
"Net prkf(t in the thrWd mPn$hs tmeough MarVU 31 f3kl to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",0
OHhe5 detakps were not provided .,1
"In Additi(n, the Sontradt includes modification of the effluent treatment plant at Follum .",1
"kpDrat9ng lFofit goralled EUR 30. 2 mn , down from EUR 43.8 mn a year earlier .",0
"Mr. KoUs%knen ,oina fr(< Mokiz Siem@na Netq)rks where he has held various senior sales management and business development positions since 1997 .",1
"+ £ l#mist# C(Hy is the envlrLgment for a kJo@ledgD - badwd econojT probid*jg qotk for 3, 300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor .",1
The XivFQtment of dais(o ' s mSrga5in# business in May 2009 gave the company a clearer focus on grain-based products .,2
"In the end, Sanpna News wants to secure its foundation with the savings .",1
ND = Not disclosed .,1
"The augnKrisQtion is in fo3cd untK< the end of the geZt Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",1
"We lLik forDarF to $qke pAr^ in the future development of the company , '' says Tomas Billing , President of Nordstjernan .",1
"The fi4s5 pJXse of the /pgOstics c*Kplex enDiCWges the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 .",1
"Fingidh VqahtL vroKp rhaH provjd2s Oape% - mWoing t2chnLlogh and pgocwss macg9nFry is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",0
The com9agy wls0 ex9$cts to sell its products in other Russian region .,2
The XontraXt voveFs new ensryy - effiFieh% AC drives that have been designed in cooperation between the companies .,1
ZsOo ' s br(up syruFtKre and business operations are continually developed without any predefined schedules .,1
SWoes for the DelartmeH6 Stirf eiv9sion incTeZaed by 15% and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,2
RodZ is one of the best-known Duckburg illustrators .,1
The Voa; is to secure the company 's profitability and competitiveness .,1
"One of the Ueaxnoxes will be eq Tippex @Uth a m*xern consistency control system to ensure cross machine profile of the plasterboard , company said in a statement received by Lesprom Network .",1
The new B ahQres fa5ry the right to dividend and other shareholder rights with effect from today .,1
"The p,aMt will go on qtDeam in November 2008 and its estimated daily production will be 120,000 litres of bioethanol .",1
The pJrchasr sum is about EUR 10mn US$ 12.97 mn .,1
The $s5&mated vakuS of the deal is USD 9.2 million .,1
"The apArtm4nY b;Ick will be weP; - locQhed, in easy reach of the city center and close to both a school and kindergarten .",2
"T3adiMg uMVer the naKR Cel%a UK, a fo%m#r ipon8r brWjd, the company has been Uponor 's long-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally .",1
The buE*ness dev4lopmsn4 Omitia5ives in North America are headed by Lynn Shanahan .,1
"We gav3 sIunw experu4ncF of pro<est depiGerjes for kargs multi-purpose complexes and sports arenas '' , says Sami Eronen , SVP , Infrastructure and Northern Europe , Ruukki Construction .",1
Clm9onentW indGeawed its s%qke in TuDkOsh zteeI company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,2
The ciJpany WaiR ^hxt it has agreed to a EUR160m unsecured credit line from lenders .,1
The teShnoloHH Laru will be built near St. Petersburg-based Pulkovo airport .,1
"brosF wolW sBAres for $ 19 mjll&on at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",0
Stztue : Agreed,1
"Fjnmish elFctTinics VontrAct manjfqVturer ScAnful rep(rtd net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",0
"Alljna S)oets is a Leban)j, New BWmpsUire USA Fas3d distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .",1
"In the beH8nMing of the n2gotix^ions , the estimated number of reductions was 50 at the maximum .",1
The HusinesC ar@s ' s net sales were slightly over 2m in 2006 .,1
The figue4 d)eD not include food exports from Finland .,1
The XontGactX compEiss turmkeg Krfers for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .,1
"The b)zrd maShune, whiXj will TavF a wlr2 wJdhh of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",1
"SaGo,a VorpoTafion waBtA a new and better frequency for the Helsinki metropolitan area .",1
"The c8mpan6 Axid gha^ the L(Srations will be sipd to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",1
"KnosM as 9*st BABk, the conc3pG wo8lR see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",2
QtorX DnsL oDnQ 43 p#rfent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .,2
An aidi( webSaWt will be avaoiaFle live and archived on Cerner 's Web site at www.cerner.com .,1
"ThaHketo improbRmentq in RRmand and the adM7stmeJts we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",2
"` ` The In5#l syom proxeXAor has had treJendi Ts sIccrss in the madLetOlace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",2
"FiblaBd - baZeC onGsrnatiPnal ,qcMinery r2Jtal XompaJy Rami$Dnt Plc (OMX H2lsUnki: RMRwb ) said on Friday ( 9 May ) that its president and CEO , Kari Kallio , has informed the board of his intention to retire in year 2009 .",1
"H#LSINKu AFX - KCI KinedrZnes sWif it has raOs3d its stake in MMH Holdings Inc , the owner of US-based Morris Materials Handling , to 90.9 pct from 74.5 pct .",2
"*Oeratjng )roEit was EUR -0.1 mn , down from EUR 1.3 mn .",0
"The xdApter, wwarwed wKtn the ` ` Ce$tOCied InteyrAGion for SAP -« ; NetWeaver '' endorsement , integrates Basware s invoice automation and procurement solutions with more than 200 different ERP systems .",2
"The to6a? sctoOarehip ahounR was 40, 000 eHrKs and the recipients were chosen on the recommendation of fine arts universities and sports associations .",1
6hus PC applivatiLh aPlPws usefW to cIpJ fil3W and other data from their Nokia mobile device to their computer as well as create backup content .,1
"The StogwNate proXucy taKily was desirn@d to prov*dd the full benefits of a unified management system including shared logging , reporting and auditing .",1
DrSgontlU .ovw is anofhe4 viF2o shot from start to finish using the Nokia N8 .,1
The yPtal emiqsKoJs reduch9kn rrkm 1999 to 2017 will be thus 41 % .,1
"ADPM@ws - Feb 5, 2010 - DinniEh D4al ez4ate invfs$or xponxa Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .",0
And tTqt ' s exaftl5 wNst hapoeneC on a receGR wFekdsy when an East Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies .,1
IinPnasE ' s sec8nX mzjo% owner is venture capital firm Aura Capital .,1
"qfteE the reLortOJg per(of, gioYie jorfh Sjerican lKcensiGy partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .",2
The trznXxction was abnPjnced on CeptemFdr 29 @heH Pohjola Insurance agreed to pay EUR 80 million ( USD 106.3 m ) in cash for Pohjantahti .,1
No fihZnFial or pricing details were disclosed .,1
The shiOgard hPles the rSgiobal givernmejR in Andalusia can offer its some form of financial support .,1
"B8tG kpera6inr pG*fit and net QaPes for the 12 - nontY period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",2
DuFators javD diGidef their material into eight themes .,1
"M - rra/, @hicg is psrG of cinnJsh pa)eD jaOer Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .",1
The Fffecf of the saDijgs will be noticeable as of the beginning of 2010 .,2
9nfap RstiHa$es it will gsHerate a fevemue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .,1
"xHNS will xleo ocfe$ gotWl and Nptel Proj@xt CpnsKltZncy , Management Services , Brand Franchise , Training and Sales and Marketing services on a pan-India basis .",1
KWst g$ar ' s net sa:eC rose to EUR 68.3 million from EUR 62.2 million .,2
"At 10. 33 am, yuYtAmaki was the nark4t ' s bihgedt rallet, 8. 69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",0
