sentences,label
slowly adding some $fio here but gotta be careful. this will be one of biggest winners in 2012,0.459
$trx http://stks.co/1kkk long setup. macd cross.,0.438
i am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,-0.506
$grpn might be selling off ahead of $p earnings...,-0.202
$iaci http://stks.co/tju looks good on the weekly chart.,0.379
"$pcln back over ""up"" trendline from 10/4",0.308
rt @robbielolz $nflx a close above here is looking good for the bulls. will hold my positions to see where we close at. keep buying here.,0.578
profit taking on $aapl this morning?  that has to be the pressure on the stock.  i'm still bullish on $aapl.,0.222
$skx turning. coming from far could go far. stock price implies you pay nothing for the business,0.298
$mos looking good here at $58.65. calls are active in this month and weekly,0.492
"sold out $tza 45 $put (down $1), which were hedging my 45 $call. letting the calls ride solo now.",0.385
$ymi http://stks.co/xyf long setup. closed above the 20ma. macd cross. november catalyst.,0.444
$tzoo a close above 28.64 and we are ready to rock and roll,0.308
"i'm liking the price action in $swks, currently @21.80 ; my target: 24.00+ before year end.",0.603
$wft closng higher from here,0.48
$sppi..building rs. sweet. i want this to break a new 52week. the earnings growth justifies way higher,0.601
$spy bull move ended waiting for next setup,-0.204
double bottom with handle buy point of 29.51 $ip http://chart.ly/akvujxh,0.446
"$gld http://stks.co/jr8 daily chart - though rsi and stoch. point at a possible move up, there's a lot of resistance.",0.176
$acom http://stks.co/1g6x downside breakout looks to be coming soon.,-0.536
$zagg getting ready...target $15 plus on a close over $13.50 on better than avg daily volume http://chart.ly/lha44tn,0.385
volatility squeeze in $aapl. i hope it gets resolved to the upside,0.042
"still short $lng from $11.70 area...next stop could be down through $9.00. someone slammed it hard with 230,000 shs this am! more to follow",-0.543
covered my small $mww short @ 7.99 for a .16 loss. flat on the day. all cash now.,0.348
that bearish outside day tuesday is significant. 200 day resistance still intact. just my opinion $sds http://chart.ly/2bey48t,-0.39
"rt fitzstock2004: $iyt http://stks.co/1nbf the transports always lead  the way, and  they broke dt  line  1st, macd cross,  bull  flag=",0.594
$dug weekly stochastics finally starting to turn up after long consolidation. buying here.,0.702
$spy don't hang your bull hat yet. next week we will pop higher on qe3 hope on back of fed's 2 day meeting.,0.412
longed $amzn 300 @ 189.82,0.65
