sentence,label
Officials did not disclose the contract value .,1
"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",2
The estimated value of the deal is USD 9.2 million .,1
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",1
27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .,2
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,1
Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .,0
Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index .,1
The first group of customers to be trained will be paint-shop owners and their assistants .,1
"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .",2
"Full-year net sales are expected to increase by approximately 10 % , the company said .",2
Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .,1
Net sales have been eaten by the weak US dollar .,0
"Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities .",1
"Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before .",0
Currency conversions are based on exchange rates at the time of the deal .,1
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",0
"In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",0
"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",2
"The Group 's turnover in 2006 was EUR 39.2 million , and operating profit was EUR 3.9 million .",1
"In future , the plant will focus on the production of flange profiles for wind farm towers .",1
Marathon estimates the value of its remaining stake in Protalix at $ 27 million .,1
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",2
"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .",1
The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,1
He wore a black beanie-type cap and a black jacket .,1
"The latest result included per-share charges of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments .",1
"Originally posted to the PCMag.com security blog , Security Watch .",1
"The sellers include 40 shareholders , including Intellibis management , employees and other investors .",1
M-real 's sales are expected to have increased by 4 % year-on-year to EUR609m in the second quarter of 2010 .,2
"From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth .",1
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,2
"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today .",0
The idea of saving electricity in data transfer is still a new one .,1
"Aug. 17 , 2010 ( Curbed delivered by Newstex ) -- And now , the latest from Racked , covering shopping and retail from the sidewalks up .",1
"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 .",2
"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",2
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,0
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .,1
"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .",1
( The acquisition sum has not been disclosed . ),1
The studies are expected to start in 2008 .,1
"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",1
"The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said .",1
"As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland .",1
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,0
"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",1
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",2
In the meantime the CEO 's duties will be assumed by Outotec 's Deputy CEO Seppo Rantakari .,1
"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",2
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,1
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed .,1
"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",1
