sentence,label,split,len,twenty,fifty
"Cramo , headquartered in Vantaa , Finland , rents construction machinery and equipment , as well as rents and sells modular space .",1,"['Cramo', ',', 'headquartered', 'in', 'Vantaa', ',', 'Finland', ',', 'rents', 'construction', 'machinery', 'and', 'equipment', ',', 'as', 'well', 'as', 'rents', 'and', 'sells', 'modular', 'space', '.']",23,5,12
"The add-on order contains , among others , control valves and instrumentation as well as complete mill engineering and electrification with Metso drive controls .",1,"['The', 'add-on', 'order', 'contains', ',', 'among', 'others', ',', 'control', 'valves', 'and', 'instrumentation', 'as', 'well', 'as', 'complete', 'mill', 'engineering', 'and', 'electrification', 'with', 'Metso', 'drive', 'controls', '.']",25,5,13
Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .,1,"['Russia', 'wants', 'to', 'utilise', 'its', 'huge', 'forest', 'reserves', 'in', 'a', 'very', 'different', 'way', 'from', 'what', 'has', 'been', 'done', 'so', 'far', '.']",21,5,11
"Olvi 's target is to strengthen its market share in soft drinks , mineral waters , ciders , long drinks , and energy drinks .",1,"['Olvi', ""'s"", 'target', 'is', 'to', 'strengthen', 'its', 'market', 'share', 'in', 'soft', 'drinks', ',', 'mineral', 'waters', ',', 'ciders', ',', 'long', 'drinks', ',', 'and', 'energy', 'drinks', '.']",25,5,13
"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .",1,"['With', 'the', 'U.S.', 'Federal', 'Government', 'putting', 'a', 'stake', 'in', 'the', 'ground', ',', 'vendors', '-', 'and', 'their', 'customers', '-', 'are', 'focused', 'on', 'meeting', 'the', 'deadline', '.']",25,5,13
"The E7 smartphone will be available for Rs35 ,000 per handset across India , '' Nokia India vice-president & managing director D Shivakumar told reporters .",1,"['The', 'E7', 'smartphone', 'will', 'be', 'available', 'for', 'Rs35', ',000', 'per', 'handset', 'across', 'India', ',', ""''"", 'Nokia', 'India', 'vice-president', '&', 'managing', 'director', 'D', 'Shivakumar', 'told', 'reporters', '.']",26,6,13
"Ahlstrom , headquartered in Helsinki , Finland , is a global leader in the development , manufacture and marketing of high performance fibre-based materials .",1,"['Ahlstrom', ',', 'headquartered', 'in', 'Helsinki', ',', 'Finland', ',', 'is', 'a', 'global', 'leader', 'in', 'the', 'development', ',', 'manufacture', 'and', 'marketing', 'of', 'high', 'performance', 'fibre-based', 'materials', '.']",25,5,13
"In addition to the Indian market , the new plant will serve Salcomp 's customers globally , the company said .",2,"['In', 'addition', 'to', 'the', 'Indian', 'market', ',', 'the', 'new', 'plant', 'will', 'serve', 'Salcomp', ""'s"", 'customers', 'globally', ',', 'the', 'company', 'said', '.']",21,5,11
A PLUMBING business has announced it is sponsoring a professional darts player .,1,"['A', 'PLUMBING', 'business', 'has', 'announced', 'it', 'is', 'sponsoring', 'a', 'professional', 'darts', 'player', '.']",13,3,7
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,1,"['The', 'share', 'subscription', 'period', 'for', 'stock', 'options', '2007A', 'is', 'between', '1', 'April', '2010', 'and', '31', 'March', '2012', '.']",18,4,9
