sentence,label
Rubin says he expects Capman to announce 1-2 additional transactions in 2009 .,1
The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq .,1
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,0
"The contract covers the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna , in northern Sweden .",1
Earnings per share were higher at 0.48 against 0.37 a year before and ahead of market consensus of 0.40 eur .,2
The maximum number of new shares to be offered is 22 million .,1
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",2
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",0
There have not been previous share subscriptions with 2004 stock options .,1
"Currently it operates a fleet of eight carriers , as well as nine pushers and barges .",1
"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .",2
"narrows to EUR2 .8 m 9-mo '09 29 October 2009 - Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today that its net loss narrowed to EUR2 .8 m for the first nine months of 2009 from EUR35 .6 m for the same period a year ago .",2
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,1
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,0
Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .,1
"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .",2
This includes a EUR 39.5 mn change in the fair value of investment properties .,1
The actions are expected to deliver annual cost savings of some EUR15-20m .,2
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,2
"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .",1
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,0
"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .",0
"s business sectors are building construction , infrastructure construction and technical building services .",1
"As part of the transaction , the +ä+ñnekoski paper mill remained in M-real 's ownership and continued Galerie Art production for Sappi under a long-term contract .",1
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,2
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,2
"However , the broker gave an `` outperform '' recommendation on the stock .",2
"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .",0
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,2
15 December 2010 - Finnish-German telecoms equipment maker Nokia Siemens Networks said today it won a contract to upgrade the radio network of home-based telecommunications company Elisa Oyj HEL : ELI1V .,2
Their names have not yet been released .,1
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",1
The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume .,1
"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London .",1
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",2
"`` The number of collection errors fell considerably , and operations speeded up .",2
"The broad-based WIG index ended Thursday 's session 0.1 pct up at 65,003.34 pts , while the blue-chip WIG20 was 1.13 down at 3,687.15 pts .",1
"Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",1
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,1
"`` BasWare 's product sales grew strongly in the financial period , by 24 percent .",2
The acquisition price was not disclosed .,1
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .,1
"In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp .",1
The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,1
The customers will have an access to integrated propeller and gear packages from one source .,1
"Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses .",1
Her work at NetApp included strategically repositioning the brand in the category and a major global relaunch .,1
"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",2
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",2
"Subscribers of China Unicom , the nation 's second largest mobile phone operator after China Mobile , are expected to release pictures , videos and blog on the Internet via mobile phones as of March 2008 .",1
"In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday , 27 April , 2007 - Q2 ( April - June ) on Friday , 20 July , 2007 - Q3 ( July - September ) on Friday , 26 October , 2007 .",1
The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .,0
Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005 .,2
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,0
"Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 .",1
"The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .",1
The company also equipped the sculptural complex Rabochy i Kolkhoznitsa A Worker and a Collective Farmer in Moscow with snow melting system .,1
"The second variant offers complete final finishing of any selected apartment with foreign high quality materials ( Finland , Denmark , Germany , France ) .",1
"Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007 .",1
"Profit per share was EUR 1.03 , up from EUR 0.87 .",2
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",1
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",2
"The Point Village , designed by Scott Tallon Walker , will include a shopping center , office premises , a hotel and a cinema .",1
The Group also has a strong global position in other fishing categories .,2
Sports equipment sales also progressed well owing to the prolonged winter season .,2
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",2
The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,2
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,0
NWC ANALYSIS :,1
The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 .,1
"The reductions will be implemented immediately , beginning in October 2009 .",1
Sales increased due to growing market rates and increased operations .,2
An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 .,1
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,2
"Latin America currently accounts for approximately 40 % of sales at Tecnotree , company president and CEO Eero Mertano recently told BNamericas .",1
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,0
"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla -¦ s shares and voting rights .",1
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",0
"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .",1
"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",1
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,0
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",2
The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,1
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",2
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",1
"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .",1
These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .,2
"Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 .",0
"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",1
Capital base and capital adequacy measurement is based on approaches under Basel II .,1
The passenger tunnel is expected to be put into operation in 2009 .,1
"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",0
"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-á323-á6201 USA .",1
To see a slide show of all the newest product releases from Fiskars .,1
"In Penttil+ñ 's vision , the most important reason for the transaction is Russia .",1
"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",2
"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 .",2
"The business area has operations in Finland , Sweden , Denmark , Estonia , Latvia and Lithuania .",1
"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .",2
"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added .",1
"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .",1
Ruukki Group calculates that it has lost EUR 4mn in the failed project .,0
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",1
The total investment in 2006 and 2007 is expected to amount to about EUR75m .,1
"EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications .",1
"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .",2
Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec .,1
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,2
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .",1
The duration of the contract is 37 months .,1
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",0
"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",2
Orders received grew by 55 % year-on-year to EUR732m .,2
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .,0
"However , the growth margin slowed down due to the financial crisis .",0
Another firm Air Liquide was exempted because it left the market in 1998 .,1
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",0
All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 .,1
The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,1
"Re-use back into PET bottles has also steadily increased and the rate of use in strapping tape has picked up again after a dip in 2005 , Petcore said previously .",2
"Nordea Bank AB publ holds 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights .",1
"STOCKMANN plc COMPANY ANNOUNCEMENT February 20 , 2007 , at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com .",1
"Like all other mechanical pipettors from Biohit , also Proline Plus is CE-IVD marked and comes with a 3-year warranty .",1
"At some point , it will spread also to Iran and Iraq .",1
"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",2
"He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels .",1
"The contract covers the manufacturing , surface-treatment and installation of the steel structures .",1
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares .,1
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .",0
The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 .,1
Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .,1
Tekla Group 's net sales for 2006 were approximately 50 million euros and operating result 13.6 million euros .,1
"Unit prices for straddle carriers vary between EUR700 ,000 and EUR900 ,000 , the company added .",1
"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .",1
The negotiations will concern the plant 's department producing winded roving that employs 10 people .,1
"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",0
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",0
Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date .,1
"Kesko has about 2,000 stores engaged in chain operations in the Nordic and Baltic countries , Russia , and Belarus .",1
A paper mill in the central Maine town of Madison soon will have a new owner .,1
Eriikka S+Âderstr+Âm has previously held several positions in finance and control at Nokia Networks including acting as the Business Group Controller and having the corporate controller position at Nokia Siemens Networks .,1
