sentence,label
"Finnish engineering and technology company Metso Oyj said on May 27 , 2008 it completed the acquisition of paper machinery technology from Japanese engineering company Mitsubishi Heavy Industries ( MHI ) for an undisclosed sum .",2
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,0
"`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said .",1
The Swedish player became majority owner of UCell in mid-2007 .,1
( I&H ) in a move to enhance growth .,2
Cision says the sale will return its U.K. operation to profitability .,2
Componenta will also offer a five-year subordinated loan for subscription by the public .,1
"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",1
"After the sale , Savcor Group Ltd will comprise Savcor ART , a corporate function and an investment in Cencorp Corporation .",1
"In addition to Russia , we now seek additional growth in Ukraine .",2
Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan .,1
You 're not alone .,1
The StoneGate UTM solution offers protection against inbound and outbound attacks .,2
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",2
R&D Loan ) .,1
Nordea will coordinate the syndicated loan .,1
All depends on financing .,1
Together they generate Aspo 's goodwill .,1
Exports grew 16.5 percent to 19.1 million liters .,2
Earnings per share EPS amounted to EUR0 .01 .,1
"Danske Bank A-S DANSKE DC jumped 3.7 percent to 133.4 kroner , rebounding from yesterday s 3.5 percent slide .",2
"Kemira 's R&D organization comprises approximately 750 people , the company said .",1
A quick `` one-stop-shop '' to understand the company .,1
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",1
"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn .",1
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,1
Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,2
"Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference .",2
"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands .",2
"Through the Nordic Exchange , OMX offers access to approximately 80 percent of the Nordic and Baltic securities market .",1
"mn , and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 .",2
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",2
Rapala Fishing Frenzy 2009 .,1
"Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities .",1
"AUSTIN , Texas , Sept. 6 -- Texas Department Of Transportation awards contract for Teleste Video Compression and Distribution Equipment .",2
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .",2
Valga Lihatoostus markets its products under the Maks & Moorits trademark .,1
Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,1
Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,2
A & euro ; 4.8 million investment in 13.6 % of Lewa netted Deutsche Beteiligungs & euro ; 21 million .,2
"However , the brokers ' ratings on the stock differ .",1
"In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday , 27 April , 2007 - Q2 ( April - June ) on Friday , 20 July , 2007 - Q3 ( July - September ) on Friday , 26 October , 2007 .",1
"It grew in Finland , Norway , Denmark and the Baltic countries .",1
A CUT ABOVE Bring the outdoors in with these birch-branch coasters .,1
And Ogden reportedly will shell out $ 4.2 million .,1
`` They 've already allocated money for the inventory .,1
Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397,1
"Under the agreement , Japrotek will deliver nine storage tanks in the volume range of 1,000 cu m to 3,000 cu m with included agitators .",1
"Originally posted to the PCMag.com security blog , Security Watch .",1
"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .",1
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,2
The Department Store Division reported an increase in sales of 4 per cent .,2
"The company 's profit totaled Ls 134,700 .",1
In 2007 Etteplan reported a turnover of EUR125 .2 m.,1
It 's not .,1
NetCom expects to complete Turbo 3G deployment in these areas this year .,1
Earnings per share ( EPS ) amounted to a loss of EUR0 .38 .,0
The deal means that ten persons in three countries will transfer to Tieto .,1
"However , the suspect stole his burgundy Nissan Altima .",0
The revenues of the business reached NOK 12 million for 2008 .,1
hu will offer a further discount of between 25 % and 50 % on selected books .,1
