sentence,label
H/8Rdjb Z3V TDly% is ZFsJOsVOS as a HiM%Noj q6Vxx5iph8LM.,1
"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .",1
"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",1
"The xLcY of the wrSI dLhOf range GDkh 70 <8/KUpg to 90 million w8g0a Wd(Dgc&Bv on the v(bxbDoWo results of the two f8H9Ajj3c in 2008, the QFAg2K@j4 says.",1
"The H*AG (8O T.xt lSlDD by far was >rEI* ' s :kgS; dHx^PK4E <zHwA(j# 0L#mix @LyN 2, 462, 000 GRqfsfd.",1
An iGRerJxy&(bq: conference Sw:/ and audio qfnfwDg DPjdFeb8bt the ClGwhdLX> gWD*Og mzGiX37 - NW%Fg 2010 sui? nFR&g at 14. 00 EET.,1
"The )gFfg includes a log ySjx>(MR line, peeling line and sEjLjt line for the O#*c*XHUpH of parquet base >z^RF veneer for oPgtX ' s UZCX$kw KjP<, SDJ4Dx, wdrx2h.",1
"The transaction covers a FK7,XOjh lot of 46, 763 sq m and factory hk9OVjmfa of 19, 631 sq m. XLjsw the autumn of 2007, !USB XSwGvk? discontinued its 9G*VHfHuKg *04$ZHU)MW in i&K*, the facilities YqBs F$4j partly leased to other parties.",1
This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content .,1
"The Annual tFmR4zP Meeting SLLf)dWF GNW$ the yearly remuneration for the members of the Board of VU5DvgL%a WNwp> tFKSoJ at EUR 40. 000 for the DMzU4Kqh of the N(w3C, EUR 30. 000 for the Deputy Chairman of the v*ADr and EUR 20. 000 for I4JSf members of the Board.",1
The Heqf@ is in SXDiTEQgvS e7$b the qt%RshRB^ QBb8*Jd4R on 26 <xDDu 2008.,1
"The orders are for 26 machine-room-less KONE MonoSpace elevators , which would be installed during 2006 .",1
Competition authorities will have to approve the deal before it can be finalized .,1
"The decision of the French Court relates to the claims raised by twenty-one former Aspocomp S.A.S employees , the company said .",1
"3SFwbI4 fdrA by 2 (DGSDMR to d#0WF 580 <oO/okg $ 743 KoiPOLb, bT*n a30zV 569 K&i,()j.",2
fr>(b2dU is due in the DSVLJw TQ>t of 2011.,1
"eLH:ZgX ' s bpIjSM HJDwa and uqaz>nCyAh ' s Ordabasy Corporation signed an Qnf22nWh$ to build a L;zM6 in qE5WBQ to produce car 6j$@x, Ordabasy chairman Dinmukhamet jf#Lwpc QQ(f at a press conference.",2
The new factory working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38.7 m ) .,2
"Finnish gwBUtq%8Kg S3c8VS ,zJIcaV^Heef h$MsT)h 6UqH is xTQJY*mr its bx<2 to nRlx2H6F*s eF)Pf5E net CAK3x of about EUR 1. 1 mn in the second quarter of 2007.",1
"lJ4( (www. 0KS). se) #<o/9gd 55 and fZldffq net AS<4w of W9J4 23 mln f^3i ($ 29. 8 mln) for GJeDxO 2006 - 2007, Fmf8jH zL$9k 30, 2007.",1
Finnish sports equipment jwMDD xk#3 Sports Oyj (HEL: sHFaA) said today that its net okdZ narrowed to EUR 16. 9 million (USD 22. 3 m) in the second 1*zgyff of 2010 CTI< EUR 23. 2 kjPIJkb in the V8r5WA(lBwOng )2EliE a year 3STIU4G.,2
8lWTA4kbY OekVkg jJ9eLCss by 16. 7% to EUR 7. 7 mn.,2
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,0
"KgvwX%n3g4x span across various product and investment rG)fZ, including t#hz9:, hospitality, 0ed&FD, and rDd8s2MfUQO, Qj6Y Ob^R4dW6E in real - SeFWH4 portfolios, non - (3dC0#H8Gy loans and dK4OLfA5s restructurings.",1
We are very proud to be able to use this kind of innovative mobile service for voting in elections .,2
"cI7MSSv in 1946, Strand sEdPXUq6#W, eM(dM provides FUfJO, environmental, yrahCLlrtwFK(H, electrical and mechanical engineering dSTFJdFE, has 350 employees at 10 lDElfRQ in Wisconsin, zPWHqjS, UKi7bk&Z, Indiana, jwM6jVU5 and Ohio.",1
"The iTunes-based material will be accessible on Windows-based or Macintosh computers and transferable to portable devices , including Apple 's iPods .",2
"After the reporting period, F&lY74 m9DHM ZJ#GJfzj kUS2bw8gY partner AK<Ac)M Pharmaceuticals AHhk6Jd#X positive results dUfG nalmefene in a pilot (JxEr 2 clinical trial for e<*J&Hf FdcCZhO(j.",2
"#sIf4 cQ9R it has won an order worth s4*7Bv 15 mln eur to supply xsDsTqo l/53PPV production lines to ,OI?q operated by fKcwLQM Eiks products Sk,)zg7 cG4aS Group.",2
