sentence,label
thew compnay allso saiddd tat iiitt wooould loer thew pric of development projects by about one third compared with last November .,1
thew implementation of thew dealy tis subjec tuh the approval by the Finnish Competition Authority .,1
"nettv profi iinn thew threee 15months throuth marbach 31 ifell tuh (  x20ac ) 103 10million ( uuusss$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",0
othere deatils wree not provided .,1
"iinn additi , thew icontact includes commodification of the effluent treatment plant at Follum .",1
"operatin profi totalled EUR 30.2 mn , downnn from EUR 43.8 mn a year earlier .",0
Mr. Koistinen joins frmo Nokia Siemens newsworks wherer he hasz held various senior sales management and business development positions since 1997 .,1
"+£lemiste citay tis thew environme fooor a knowlegde-basd ecomony providin workrt fooor 3,300 eople wwith thew toal turnover of itsss comapnies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor .",1
thew divestment of Raisio 's margarine businees iinn maaay 2009 gave the company a clearer focus on grain-based products .,2
"iinn thew ennd , Sanoma senews whants tuh secure its foundation with the savings .",1
nndd = nooottt disclosed .,1
"thew authorisation tis iinn forceer til thew ennd of thew nexxt annua qeneral meetinq aaanndd repeals thew authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",1
"We llook 4ward tuh trake parrrt iinn thew furture developmen of thew company , '' says Tomas Billing , President of Nordstjernan .",1
"thew firssst phase of thew logisitics komplex envisages thew completions of somez 70,000 sq m of logistics premises and the gatehouse building in November 2008 .",1
"Finnish Vaahto gruop tat provides papr-mking technolo aaanndd bioprocess machinery tis strtin negotiations concerning thew temperary laaay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",0
thew compagny allso expects tuh selll itsss products in other Russian region .,2
thew icontact 18covers 2new cenergy-efficien AC drives tat haaave been designed in cooperation between the companies .,1
Aspo 's gruop structurer aaanndd businees operatio aare continually developed without any predefined schedules .,1
Sales fooor thew diretamente storeee divsion increased by 15 % aaanndd sales fooor thew clothi storeee subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,2
Rosa tis onex of thew best-known Duckburg illustrators .,1
thew goooaaalll tis tuh secure thew company 's profitability and competitiveness .,1
"onex of thew headboxes iwll b3 equiped wwith a mordern consistancy decontrol systemmm tuh ensur uncross machine profile of the plasterboard , company said in a statement received by Lesprom Network .",1
thew 2new B shares carrry thew righht tuh dividend and other shareholder rights with effect from today .,1
"thew plant iwll g0 ooonnn streamyx iinn november10 2008 aaanndd itsss estimated daily production will be 120,000 litres of bioethanol .",1
thew puchase sumem tis abou EUR 10mn US$ 12.97 mn .,1
thew estimated valu of thew dealy is USD 9.2 million .,1
"thew apartament blocc iwll b3 kwell-located , iinn esay reachh of thew city center and close to both a school and kindergarten .",2
"daytrading underrr thew naame Velta UK , a forme Uponor brandd , thew compagny hasz beeennn Uponor 's lonnng-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally .",1
thew businees developmen initiativ iinn north1 amrica are headed by Lynn Shanahan .,1
"We haaave sond expierience of poject deliveries fooor lrge multi-purpos complexes aaanndd 2ksports arenas '' , says Sami Eronen , SVP , Infrastructure and Northern Europe , Ruukki Construction .",1
Componenta increased itsss stak iinn Turkish stee compagny Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,2
thew compagny saiddd tat iiitt hasz agree'd tuh a EUR160m unsecured credit line from lenders .,1
thew technolo paark iwll b3 bulit near St. Petersburg-based Pulkovo airport .,1
"frostie solds shares fooor $ 19 10million at $ 6.06-7 .12 per shre , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",0
statuse : Agreed,1
"Finnish electroni icontact manufactur Scanfil reports nettv sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",0
"Alpina 2ksports tis a lebanons , 2new Hampshire USA basd distributor of e.g. Alpina skii shose aaanndd skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .",1
"iinn thew beggining of thew negotiations , thew estimated number of reductions was 50 at the maximum .",1
thew businees areaa 's nettv sales wree slightly over 2m in 2006 .,1
thew 2figure dooes nooottt inclu food exports from Finland .,1
thew contras comprise turnkey oders fooor RoRo systemsays fooor twooo RoRo-cruise vessels under construction for Viking Line and Tallink .,1
"thew eboard maschine , whichhh iwll haaave a webwire width of 6.25 m aaanndd a bydesign speeed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",1
Sanoma corporatism whants a 2new aaanndd beter frequency for the Helsinki metropolitan area .,1
"thew compagny saiddd tat thew operatio iwll b3 solds tuh a newley establishe compagny , CPS GmbH , where the present management of the plastics business is a co-owner .",1
"knownnn awasss postit ambank , thew koncept wooould c Fidelity ambank rolllin zout 75 offices in Ghana Post premises , to provide financial services to the people .",2
Stora Enso pwnz 43 60percent of Bergvik aaanndd earns therefore SEK 1.5 bn on the value appreciation .,2
An eaudio webcast iwll b3 avilable livvveee aaanndd archived on Cerner 's Web site at www.cerner.com .,1
"Thanksto improvments iinn deman aaanndd thew adjustments we haaave madee , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",2
"`` thew intels Atom processoros hasz ihaad tremendous succces iinn thew marketplacenow sinnce itsss lauch oveeer 2 5years agooo , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",2
"baffinland-basd untraditional machinery rental compagny Ramirent Plc ( OMX Helsinki : RMR1V ) saiddd ooonnn fridaay ( 9 maaay ) tat its president and CEO , Kari Kallio , has informed the board of his intention to retire in year 2009 .",1
"HELSINKI AFX - KCI Konecranes saiddd iiitt hasz raisd itsss stak iinn MMH Holdings incs , the owner of US-based Morris Materials Handling , to 90.9 pct from 74.5 pct .",2
"operatin profi wasss EUR -0.1 mn , down from EUR 1.3 mn .",0
"thew adopter , awarde wwith thew `` certif integrations fooor SAP -« ; NetWeaver '' endorsment , integrates Basware s invoice automation and procurement solutions with more than 200 different ERP systems .",2
"thew toal scholorship amout wasss 40,000 euros aaanndd thew recipients wree choosen on the recommendation of fine arts universities and sports associations .",1
thisss PC applicati allows users tuh coppy files aaanndd othere data frmo thier Nokia mobile device to their computer as well as create backup content .,1
"thew StoneGate prod familiy wasss designd tuh provid thew fuuulll benfits of a unified management system including shared logging , reporting and auditing .",1
dragonlily lubb tis anotehr vieo shottt frmo starttt to finish using the Nokia N8 .,1
thew toal emissions reductio frmo 1999 tuh 2017 will be thus 41 % .,1
"ADPnews - Feb 5 , 2010 - Finnish reaalll esate invester Sponda Oyj HEL : SDA1V saiddd 2day tat iiitt sliped tuh a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .",0
aaanndd tat 's exactlly whjat happened2 ooonnn a recen weekday hwen an easttt haveent bakker wasss brought in to remind residents about the Easter tradition of making wheat and rice pies .,1
IonPhasE 's seconddd majour pwnzor tis venture capital firm Aura Capital .,1
"aftre thew reporti peroid , BioTie north1 merican licensing parter Somaxon pharmaceutics annouced positve results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .",2
thew transistion wasss annouced ooonnn septembe 29 hwen Pohjola esurance agree'd tuh ipay EUR 80 million ( USD 106.3 m ) in cash for Pohjantahti .,1
nuh financials oorrr priving details were disclosed .,1
thew shipyard hopes thew regiona govenment iinn Andalusia ican offer its some form of financial support .,1
"bouth operatin profi aaanndd nettv sales fooor thew 12-2month peroid increased , respectively frmo EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",2
Curators haaave devided thier materi into eight themes .,1
"M-reaalll , whichhh tis parrrt of Finnish papr makerrr Metsaliitto gruop , tis duee to release its second-quarter report at around 12:00 EET on 5 August 2010 .",1
thew efct of thew savings iwll b3 noticable as of the beginning of 2010 .,2
Incap estimat iiitt iwll generate a reven of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .,1
"AHMS iwll allso offfer hoteeel aaanndd hoteeel poject econsultancy , mangement sevices , brandd Franchise , Training and Sales and Marketing services on a pan-India basis .",1
llast 6year 's nettv sales rooose tuh EUR 68.3 million from EUR 62.2 million .,2
"At 10.33 aaammm , Huhtamaki wasss thew marketwk 's biggets faller , 8.69 pct loer at 11.35 eur , whiiile thew OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",0
thew Finnish dailyfx Kauppalehti surmises tat Finnish suppli Rautaruukki hasz raised its prices above Aker 's comfort zone .,0
"iinn baffinland , Hamina carg trigeminal , of Finnish Nurminen logisitics , hasz purchased a warehouse with ground lease rights in the Port of Hamina .",1
thew sales of thew Tiimari segmen ifell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .,0
"Elisa corporatism iwll disclose itsss financials statments fooor 2006 on Thursday , 8 February 2007 .",1
"bouth operatin profi aaanndd nettv sales fooor thew sixxx-2month peroid increased , respectively frmo EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",2
"EUR928 ,000 iinn Q1 2010 6 maaay 2010 - Finnish textile aaanndd clothi bydesign compagny Marimekko Oyj ( HEL : MMO1V ) saiddd 2day its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",2
"`` mmyy wifie tis lookiin 4ward tuh gettinq a paycheck agaian , '' he quipped recently as a six-knot current swirled around his anchored and heavily sponsored jet sled .",1
"iinn thew seconddd qaurter of 2010 , thew gruop 's nettv profi rooose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",2
"iinn Q1 of 2009 , thew compagny 's resultat berfore taxe frmo continueing operatio , excludin nonnn-recurri items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",0
"Kesko Agro Eesti , thew retaile aaanndd wholesaler of grained , agricultura aaanndd warehousing machinery aaanndd accessori , ihaad net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",2
`` We youcould be there .,1
"QPR hasz an establishe untraditional costumer baseee , speard oveeer 70 contries iinn 2009 , aaanndd a variety of organizations including banks , manufacturing companies , service companies and government authorities .",1
"thew instock pric rooose 70.0 ores oorrr 0.9 % tuh closee at SEK77 .65 , ending a two-day streak of losses .",2
Raute saiddd iiitt hasz iwon an ordr worthhh aound 15 mln eur tuh suppy sevrl plywood production lines to mills operated by Russian wood products company Sveza Group .,2
"Swedish telco TeliaSonera tis reteaming uupp wwith cuddy , a Swedish organisation aqainst bullying , to fight bullying of children and teenagers via electronic channels .",1
thew plant tis expecte tuh starttt productio in the first half of 2007 .,1
"Nyrstar hasz allso agree'd tuh suppy tuh Talvivaara uupp tuh 150,000 tonnes of sulphuric acid per annum fooor use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",2
Airbus hasz 100 firm oders fooor thew A350 and 89 nonbinding commitments .,2
"Fiskars R , founded iinn 1649 , tis onex of thew oldes comapnies iinn thew world and is the largest manufacturer of lightweight stainless steel scissors in the U.S. .",1
"thew fishies conent of thew nuggetsss tis 85 % , and the fish comes from Canada and Finland .",1
Raffles Equities ltda becam a substantial holder iinn Archer Exploration ltda ooonnn January 12 with 11.7 million shares ( 18.2 pc ) .,1
CapMan madee itsss inital divestment iinn OneMed in June 2006 .,1
thew Finnish compagny Stockmann hasz signedd thew contract with the company Technopolis .,1
