sentence,label
The dividend will come on top of the 0.45 eur on A shares and 0.43 on K shares it has already paid on last year 's accounts .,1
- Profit before taxes was EUR 105.9 82.7 million .,1
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",1
"The study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis .",1
"The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board , EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board .",1
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",2
The company 's main shareholders Lihakunta and Itikka Osuuskunta have both made a commitment to acquire shares worth EUR 20mn .,1
"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",0
The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,2
"Only the driver was left in the car with the suspect , who was kidnapped and forced at gunpoint to drive to Durham .",0
The recruits who have completed the K-retailer trainee program are qualified to start a career as independent retailers in K-stores .,1
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .",0
Upon completion of the deal Panostaja will establish a new business area within the group to focus on heat treatment of metals .,1
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,1
The social plan negotiations were part of the three year turn-around program which is expected to ensure Salomon 's future competitiveness .,2
Operating profit rose to 22.1 mln eur from 19.9 mln .,2
"According to latest information , Benefon will launch its Twig device on 20 September 2006 .",1
No more waste-burning facilities should be built .,1
The restructuring measures will not affect the production of packaging printing material .,1
"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .",1
"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .",2
The trade is in accordance with the agreement announced on 26 March 2008 .,1
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",2
"SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority .",2
"As a result of the cancellation , the maximum increase of Citycon 's share capital on the basis of the convertible bonds decreased from EUR 23,383,927.80 to EUR 22,901,784.75 .",1
"Profit per share was EUR 1.03 , up from EUR 0.87 .",2
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",1
The parties have agreed to negotiate definitive distribution and license agreements by the end of June 2010 .,2
The new organization consists of two business units : Charging & Messaging and Finance & Administration .,1
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,2
"Finnish forest machinery and equipment maker Ponsse Oyj said on October 5 , 2007 it will deliver a total of 67 cut-to-length method forest machines and 44 harvester heads to Brazilian paper maker Bahia Pulp and to unnamed Uruguayan wood harvesting contractors .",2
EPS grew to 0.04 eur from 0.02 eur .,2
The value of the deal was not disclosed .,1
"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services .",1
The expansion is to be finalized in the autumn of 2009 .,1
"Price talk is in the mid-market swaps plus 105 bps area and the leads are Barclays , BNPP , UBS and CBA .",1
"Additionally , the company will terminate a maximum nine salaried and senior salaried employees ' employment contracts .",0
