sentence,label
The c0mpnay a180 said that it would lower the price of development projects by about one third compared with last November .,1
The imp1ementatiun of the deal is subject to the approval by the Finnish Competition Authority .,1
"Net pkufit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",0
0thek details were not provided .,1
"1n additi0n , the contract includes modification of the effluent treatment plant at Follum .",1
"0pekatin9 pkufit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",0
Mk. K0i8tinen juin8 from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,1
"+ £ 1emi8te Gity i8 the envikunment for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor .",1
The dive8tment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .,2
"1n the end , Sanoma News wants to secure its foundation with the savings .",1
N0 = Not disclosed .,1
"The aothuki8ati0n i8 in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",1
"We 1u0r fukwakd to take part in the future development of the company , '' says Tomas Billing , President of Nordstjernan .",1
"The fik8t pha8e of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 .",1
"Finni8h Vaahtu Ck0op that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",0
The c0mpany also expects to sell its products in other Russian region .,2
The c0ntkact covers new energy-efficient AC drives that have been designed in cooperation between the companies .,1
A8p0 ' 8 Group structure and business operations are continually developed without any predefined schedules .,1
8a1e8 f0k the 0epaktment Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,2
R08a is one of the best-known Duckburg illustrators .,1
The 9ua1 is to secure the company 's profitability and competitiveness .,1
"0ne uf the head6uxe8 will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard , company said in a statement received by Lesprom Network .",1
The new B shares carry the right to dividend and other shareholder rights with effect from today .,1
"The p1ant wi11 go on stream in November 2008 and its estimated daily production will be 120,000 litres of bioethanol .",1
The pokcha8e sum is about EUR 10mn US$ 12.97 mn .,1
The e8timated value of the deal is USD 9.2 million .,1
"The apaktment 61ucr will be well-located , in easy reach of the city center and close to both a school and kindergarten .",2
"Tkadin9 ondek the name Velta UK , a former Uponor brand , the company has been Uponor 's long-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally .",1
The 6o8ine88 development initiatives in North America are headed by Lynn Shanahan .,1
"We have 8uond experience of project deliveries for large multi-purpose complexes and sports arenas '' , says Sami Eronen , SVP , Infrastructure and Northern Europe , Ruukki Construction .",1
G0mpunenta inckea8ed it8 stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,2
The c0mpany said that it has agreed to a EUR160m unsecured credit line from lenders .,1
The techn01u9y park will be built near St. Petersburg-based Pulkovo airport .,1
"Fk08t 8u1d 8hake8 for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",0
8tato8 : Agreed,1
"Finni8h e1ectk0nic8 cuntkact manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",0
"A1pina 8pukt8 i8 a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .",1
"1n the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",1
The 6o8ine88 area 's net sales were slightly over 2m in 2006 .,1
The figure does not include food exports from Finland .,1
The cuntkact8 comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .,1
"The 60akd machine, which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",1
8an0ma Gukpukatiun wants a new and better frequency for the Helsinki metropolitan area .,1
"The c0mpany 8aid that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",1
"Knuwn a8 P08t Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",2
8t0ka Bn80 owns 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .,2
An aodiu webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,1
"Thanr8tu impkuvement8 in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",2
"` ` The 1nte1 Atum processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",2
"Fin1and - 6a8ed inteknatiuna1 machineky kenta1 c0mpany Ramirent Plc ( OMX Helsinki : RMR1V ) said on Friday ( 9 May ) that its president and CEO , Kari Kallio , has informed the board of his intention to retire in year 2009 .",1
"HBL81NK1 AFX - KG1 Konecranes said it has raised its stake in MMH Holdings Inc , the owner of US-based Morris Materials Handling , to 90.9 pct from 74.5 pct .",2
"Dpekatin9 pk0fit was EUR -0.1 mn , down from EUR 1.3 mn .",0
